date,avg_sentiment,sentiment_std,headline_count,positive_count,negative_count,neutral_count,positive_ratio,negative_ratio
2019-01-01,-0.17127272727272727,0.6135436562966146,11,3,5,3,0.2727272727272727,0.45454545454545453
2019-01-02,0.05954545454545454,0.47315375167832363,11,4,2,5,0.36363636363636365,0.18181818181818182
2019-01-03,0.24442857142857147,0.564773363731818,7,4,1,2,0.5714285714285714,0.14285714285714285
2019-01-04,0.12833333333333333,0.6951758530520652,6,3,3,0,0.5,0.5
2019-01-05,-0.19639999999999996,0.594872199159898,10,3,5,2,0.3,0.5
2019-01-06,0.11699999999999999,0.47005021008398673,6,3,2,1,0.5,0.3333333333333333
2019-01-07,-0.04681818181818182,0.4922088618019424,11,3,4,4,0.2727272727272727,0.36363636363636365
2019-01-08,0.031000000000000003,0.5756026655353749,15,5,6,4,0.3333333333333333,0.4
2019-01-09,-0.1978571428571429,0.4030353287126032,7,1,3,3,0.14285714285714285,0.42857142857142855
2019-01-10,0.05521428571428571,0.508977130901006,14,5,3,6,0.35714285714285715,0.21428571428571427
2019-01-11,0.05512500000000001,0.30965069606159223,8,3,2,3,0.375,0.25
2019-01-12,-0.0963076923076923,0.42270071851831226,13,3,5,5,0.23076923076923078,0.38461538461538464
2019-01-13,0.028100000000000003,0.6808619455432129,10,5,4,1,0.5,0.4
2019-01-14,-0.06281818181818183,0.6141162460286844,11,5,4,2,0.45454545454545453,0.36363636363636365
2019-01-15,0.15777777777777774,0.5907141393639096,9,4,3,2,0.4444444444444444,0.3333333333333333
2019-01-16,0.0010909090909090918,0.545037513304443,11,4,4,3,0.36363636363636365,0.36363636363636365
2019-01-17,-0.04312499999999999,0.536211428849266,8,3,4,1,0.375,0.5
2019-01-18,0.189,0.6490685634045142,5,2,2,1,0.4,0.4
2019-01-19,0.2893846153846154,0.5616998810844244,13,9,3,1,0.6923076923076923,0.23076923076923078
2019-01-20,-0.05599999999999995,0.720761105657465,8,4,4,0,0.5,0.5
2019-01-21,0.29300000000000004,0.4405240385852157,8,5,1,2,0.625,0.125
2019-01-22,0.1655,0.5017666063746443,12,5,2,5,0.4166666666666667,0.16666666666666666
2019-01-23,0.21200000000000002,0.4698680665889096,5,3,1,1,0.6,0.2
2019-01-24,-0.08700000000000002,0.38560018153522696,13,2,3,8,0.15384615384615385,0.23076923076923078
2019-01-25,-0.017777777777777767,0.5849074238240137,9,3,4,2,0.3333333333333333,0.4444444444444444
2019-01-26,-0.27171428571428574,0.5155837191267499,7,1,4,2,0.14285714285714285,0.5714285714285714
2019-01-27,-0.2545,0.5641711619712585,6,1,4,1,0.16666666666666666,0.6666666666666666
2019-01-28,0.030545454545454574,0.5116630460833309,11,3,3,5,0.2727272727272727,0.2727272727272727
2019-01-29,-0.11109090909090907,0.4049670244712413,11,2,4,5,0.18181818181818182,0.36363636363636365
2019-01-30,-0.4123333333333333,0.4762997655538649,6,1,4,1,0.16666666666666666,0.6666666666666666
2019-01-31,-0.279,0.4303543759378878,10,1,6,3,0.1,0.6
2019-02-01,-0.26685714285714285,0.7533574690613191,7,2,5,0,0.2857142857142857,0.7142857142857143
2019-02-02,0.028666666666666632,0.5601055704061512,9,5,3,1,0.5555555555555556,0.3333333333333333
2019-02-03,-0.05430769230769231,0.4529956557215136,13,4,4,5,0.3076923076923077,0.3076923076923077
2019-02-04,-0.17523076923076927,0.6040863837021647,13,3,7,3,0.23076923076923078,0.5384615384615384
2019-02-05,-0.16871428571428573,0.4591045512854224,14,3,7,4,0.21428571428571427,0.5
2019-02-06,-0.044333333333333315,0.5458958386603315,6,2,2,2,0.3333333333333333,0.3333333333333333
2019-02-07,-0.021000000000000022,0.592640869329816,11,3,3,5,0.2727272727272727,0.2727272727272727
2019-02-08,0.12971428571428573,0.6501419625193957,7,3,2,2,0.42857142857142855,0.2857142857142857
2019-02-09,-0.10838461538461536,0.5666456180102837,13,4,5,4,0.3076923076923077,0.38461538461538464
2019-02-10,-0.19923076923076927,0.5779910832423735,13,3,7,3,0.23076923076923078,0.5384615384615384
2019-02-11,-0.10826666666666665,0.5306656825786521,15,4,6,5,0.26666666666666666,0.4
2019-02-12,-0.33520000000000005,0.2912922930666034,5,0,3,2,0.0,0.6
2019-02-13,0.40099999999999997,0.5405182698114839,5,3,1,1,0.6,0.2
2019-02-14,0.352125,0.5262550814142185,8,6,1,1,0.75,0.125
2019-02-15,0.12628571428571428,0.49692243334539116,7,3,2,2,0.42857142857142855,0.2857142857142857
2019-02-16,-0.2611,0.43717691562519123,10,2,6,2,0.2,0.6
2019-02-17,0.05478571428571427,0.48974705850947314,14,7,4,3,0.5,0.2857142857142857
2019-02-18,-0.1838333333333333,0.5845878605194147,6,1,3,2,0.16666666666666666,0.5
2019-02-19,0.13945454545454547,0.6408700903672075,11,7,4,0,0.6363636363636364,0.36363636363636365
2019-02-20,0.057454545454545466,0.4567100532364847,11,3,2,6,0.2727272727272727,0.18181818181818182
2019-02-21,-0.048399999999999985,0.59350563041418,10,4,5,1,0.4,0.5
2019-02-22,-0.09972727272727272,0.38856636264841327,11,2,4,5,0.18181818181818182,0.36363636363636365
2019-02-23,0.0002666666666666669,0.45546702353058394,15,4,4,7,0.26666666666666666,0.26666666666666666
2019-02-24,-0.0607,0.5628522699410368,10,3,5,2,0.3,0.5
2019-02-25,-0.006666666666666672,0.46122825151978714,9,3,3,3,0.3333333333333333,0.3333333333333333
2019-02-26,-0.27415384615384614,0.57681797333212,13,3,7,3,0.23076923076923078,0.5384615384615384
2019-02-27,0.107125,0.587833416028725,8,3,3,2,0.375,0.375
2019-02-28,0.10499999999999998,0.54189599807276,12,5,3,4,0.4166666666666667,0.25
2019-03-01,0.08735714285714284,0.5073787247507234,14,6,4,4,0.42857142857142855,0.2857142857142857
2019-03-02,0.01953333333333334,0.48188704465831395,15,6,5,4,0.4,0.3333333333333333
2019-03-03,0.17500000000000002,0.48571061343149585,6,2,1,3,0.3333333333333333,0.16666666666666666
2019-03-04,0.14,0.6320897879257343,5,2,1,2,0.4,0.2
2019-03-05,-0.15183333333333335,0.7007688396801522,6,2,4,0,0.3333333333333333,0.6666666666666666
2019-03-06,-0.09633333333333334,0.39129869239069365,6,1,2,3,0.16666666666666666,0.3333333333333333
2019-03-07,-0.0273,0.5102374283932269,10,3,5,2,0.3,0.5
2019-03-08,-0.07770000000000002,0.5482712325523239,10,3,4,3,0.3,0.4
2019-03-09,-0.002571428571428574,0.573455076945636,14,5,6,3,0.35714285714285715,0.42857142857142855
2019-03-10,-0.14464285714285716,0.5441932076503228,14,3,7,4,0.21428571428571427,0.5
2019-03-11,0.17999999999999997,0.44418952411480095,7,3,1,3,0.42857142857142855,0.14285714285714285
2019-03-12,-0.22793333333333338,0.5550879552784748,15,3,8,4,0.2,0.5333333333333333
2019-03-13,-0.03763636363636364,0.5901413852166738,11,4,4,3,0.36363636363636365,0.36363636363636365
2019-03-14,-0.123,0.574646326012792,11,3,5,3,0.2727272727272727,0.45454545454545453
2019-03-15,-0.020090909090909104,0.4154215821416732,11,3,3,5,0.2727272727272727,0.2727272727272727
2019-03-16,-0.17685714285714285,0.5379276371940215,7,1,3,3,0.14285714285714285,0.42857142857142855
2019-03-17,0.10766666666666672,0.5588520973089988,15,7,5,3,0.4666666666666667,0.3333333333333333
2019-03-18,0.01239999999999999,0.5365182403443728,10,3,3,4,0.3,0.3
2019-03-19,-0.10466666666666669,0.5347871850870525,12,2,5,5,0.16666666666666666,0.4166666666666667
2019-03-20,-0.036399999999999995,0.555085849216137,5,1,2,2,0.2,0.4
2019-03-21,0.10274999999999998,0.5977863330655862,8,4,3,1,0.5,0.375
2019-03-22,0.131,0.5013716186622454,5,2,1,2,0.4,0.2
2019-03-23,-0.217,0.5956371683866247,12,2,6,4,0.16666666666666666,0.5
2019-03-24,-0.1435833333333333,0.5194058595835216,12,4,6,2,0.3333333333333333,0.5
2019-03-25,0.14935714285714288,0.5007684260049913,14,6,3,5,0.42857142857142855,0.21428571428571427
2019-03-26,-0.10954545454545456,0.45316671626154625,11,3,5,3,0.2727272727272727,0.45454545454545453
2019-03-27,0.15220000000000003,0.5725567997053994,10,5,2,3,0.5,0.2
2019-03-28,0.17950000000000002,0.44630561278119724,6,3,1,2,0.5,0.16666666666666666
2019-03-29,-0.18377777777777776,0.38432238348090586,9,1,4,4,0.1111111111111111,0.4444444444444444
2019-03-30,-0.0327142857142857,0.5311251309831845,7,3,3,1,0.42857142857142855,0.42857142857142855
2019-03-31,0.08257142857142856,0.6199569493502103,7,3,3,1,0.42857142857142855,0.42857142857142855
2019-04-01,-0.09993333333333335,0.4891334125145156,15,5,6,4,0.3333333333333333,0.4
2019-04-02,-0.20636363636363633,0.5291627864329222,11,2,6,3,0.18181818181818182,0.5454545454545454
2019-04-03,-0.1409333333333333,0.5213885946841057,15,4,7,4,0.26666666666666666,0.4666666666666667
2019-04-04,-0.21292857142857144,0.42678051723351884,14,2,7,5,0.14285714285714285,0.5
2019-04-05,0.2608,0.2191739035560575,5,3,0,2,0.6,0.0
2019-04-06,0.15226666666666666,0.451162857302686,15,6,3,6,0.4,0.2
