series_id,series_name,date,year,value,prev_value,yoy_change,yoy_change_abs,rolling_avg_5y
CPIAUCSL,Consumer Price Index,1970-01-01,1970,43.4,,,,43.4
CPIAUCSL,Consumer Price Index,1971-01-01,1971,46.3,43.4,6.682027649769583,2.8999999999999986,44.849999999999994
CPIAUCSL,Consumer Price Index,1972-01-01,1972,49.8,46.3,7.559395248380129,3.5,46.5
CPIAUCSL,Consumer Price Index,1973-01-01,1973,53.3,49.8,7.028112449799197,3.5,48.2
CPIAUCSL,Consumer Price Index,1974-01-01,1974,55.8,53.3,4.690431519699813,2.5,49.720000000000006
CPIAUCSL,Consumer Price Index,1975-01-01,1975,60.9,55.8,9.139784946236562,5.100000000000001,53.21999999999999
CPIAUCSL,Consumer Price Index,1976-01-01,1976,66.1,60.9,8.53858784893267,5.199999999999996,57.17999999999999
CPIAUCSL,Consumer Price Index,1977-01-01,1977,71.8,66.1,8.623298033282909,5.700000000000003,61.58
CPIAUCSL,Consumer Price Index,1978-01-01,1978,75.5,71.8,5.153203342618388,3.700000000000003,66.02
CPIAUCSL,Consumer Price Index,1979-01-01,1979,82.9,75.5,9.801324503311266,7.400000000000006,71.44000000000001
CPIAUCSL,Consumer Price Index,1980-01-01,1980,84.5,82.9,1.9300361881785213,1.5999999999999943,76.16
CPIAUCSL,Consumer Price Index,1981-01-01,1981,88.6,84.5,4.8520710059171535,4.099999999999994,80.66000000000001
CPIAUCSL,Consumer Price Index,1982-01-01,1982,95.1,88.6,7.336343115124154,6.5,85.32000000000001
CPIAUCSL,Consumer Price Index,1983-01-01,1983,97.5,95.1,2.523659305993697,2.4000000000000057,89.72
CPIAUCSL,Consumer Price Index,1984-01-01,1984,100.5,97.5,3.076923076923077,3.0,93.24
CPIAUCSL,Consumer Price Index,1985-01-01,1985,104.7,100.5,4.1791044776119435,4.200000000000003,97.28
CPIAUCSL,Consumer Price Index,1986-01-01,1986,108.1,104.7,3.2473734479465053,3.3999999999999915,101.17999999999999
CPIAUCSL,Consumer Price Index,1987-01-01,1987,109.9,108.1,1.665124884366338,1.8000000000000114,104.13999999999999
CPIAUCSL,Consumer Price Index,1988-01-01,1988,114.4,109.9,4.094631483166515,4.5,107.51999999999998
CPIAUCSL,Consumer Price Index,1989-01-01,1989,117.2,114.4,2.447552447552445,2.799999999999997,110.86000000000001
CPIAUCSL,Consumer Price Index,1990-01-01,1990,120.7,117.2,2.986348122866894,3.5,114.05999999999999
CPIAUCSL,Consumer Price Index,1991-01-01,1991,122.6,120.7,1.5741507870753864,1.8999999999999915,116.96
CPIAUCSL,Consumer Price Index,1992-01-01,1992,127.5,122.6,3.9967373572593847,4.900000000000006,120.47999999999999
CPIAUCSL,Consumer Price Index,1993-01-01,1993,129.7,127.5,1.7254901960784226,2.1999999999999886,123.54
CPIAUCSL,Consumer Price Index,1994-01-01,1994,132.5,129.7,2.158828064764851,2.8000000000000114,126.6
