sentiment,word,tfidf_score
positive,signals,0.4896405028240957
positive,growth,0.4774565307440573
positive,b,0.47730706003817736
positive,expectations,0.4760589402356935
positive,rally,0.47154302780141794
positive,stock,0.40294696647486844
positive,johnson,0.3230642790471461
positive,dividend,0.3119413710971261
positive,confidence,0.3119413710971261
positive,beat,0.30993658496331117
negative,concerns,0.7187052342810715
negative,regulatory,0.3433712066006716
negative,scrutiny,0.3084411308328767
negative,faces,0.3084411308328767
negative,estimates,0.3084411308328767
negative,misses,0.3084411308328767
negative,outlook,0.3084411308328767
negative,fullyear,0.3084411308328767
negative,mount,0.30312091318539996
negative,affecting,0.30312091318539996
neutral,investors,0.5792076378388253
neutral,flat,0.42725307509316335
neutral,await,0.42725307509316335
neutral,decision,0.42725307509316335
neutral,uncertainty,0.4197673954925612
neutral,maintains,0.4197673954925612
neutral,experts,0.41357758651404136
neutral,say,0.41357758651404136
neutral,continue,0.41357758651404136
neutral,expected,0.41357758651404136
