x_variable,y_variable,slope,intercept,r_squared,correlation,p_value,n_observations
btc_volume,eth_volume,0.5043292673971689,67643186095.19702,0.9819387903597713,0.9909282468270704,7.004182416137359e-48,55
usa_gdp,korea_gdp,0.07869287547682942,-133984450375.95312,0.9544277651055142,0.9769481895707234,3.1846710220531776e-37,55
sp500_price,korea_real_estate,2.497607548963479,79.15349727030286,0.9284135221971799,0.9635421745814658,5.085076636960401e-32,55
btc_price,eth_price,0.041599290071597,492.00628553592253,0.9167061102837246,0.9574477062919543,2.8325153755710752e-30,55
usa_gdp,korea_real_estate,3.738391051852447e-11,-61.28883244275539,0.8898471686564398,0.9433171092779139,4.7316088922770716e-27,55
korea_gdp,korea_real_estate,4.5151972516973816e-10,18.368649960576192,0.8422231729236251,0.9177271778277165,6.633122534175198e-23,55
btc_price,eth_volume,144334785.7067864,137743654934.54248,0.8194258505073378,0.9052214372778284,2.4024148346276095e-21,55
usa_gdp,sp500_price,1.3764945050095094e-11,-43.78857679838616,0.8105911716931811,0.9003283688150568,8.563116176621226e-21,55
btc_price,btc_volume,281210705.346272,158717610166.05273,0.8057035252225827,0.8976098959027705,1.6869486968091e-20,55
sp500_price,btc_volume,27674874050.06875,-1456207577951.0967,0.7508306001551186,0.866504818310388,1.2720636384856397e-17,55
sp500_price,btc_price,88.12209424634854,-4728.213327820329,0.7471859776957169,0.8643992004251954,1.8734261910119956e-17,55
eth_price,eth_volume,3095147963.907487,-1323409089832.358,0.7113317271837309,0.8434048418071424,6.443812697157087e-16,55
korea_gdp,sp500_price,1.590790663657913e-10,-9.581197410497907,0.7024359614732862,0.8381145276591297,1.4489277484056854e-15,55
sp500_price,eth_volume,13536897749.4083,-625325141333.012,0.6935296414439898,0.832784270651163,3.1848665632473134e-15,55
btc_volume,korea_real_estate,6.675542961219888e-11,240.45837757318856,0.6765432931021884,0.8225225182949025,1.3459674723918474e-14,55
btc_volume,eth_price,1.1193098951213373e-10,514.3201129511855,0.6513994834051251,0.8070932309251052,9.963026659897217e-14,55
eth_volume,korea_real_estate,1.25489940830919e-10,236.38038079791266,0.6192758713062236,0.7869408308800756,1.0550097294858514e-12,55
sp500_price,eth_price,3.386990078746211,322.8037116058175,0.5847163400819073,0.7646674702652829,1.0838650803047296e-11,55
btc_price,korea_real_estate,0.01906867502771622,249.8803994643153,0.562438449034276,0.7499589649002644,4.408658082293155e-11,55
korea_gdp,sp500_volume,0.01986219458989953,-1261501424.3698921,0.4548896476546759,0.6744550746007297,1.646744254037546e-08,55
usa_gdp,btc_volume,0.3209795511939875,-2047841447826.8833,0.4320940581464894,0.657338617568213,4.9940032104819526e-08,55
eth_price,korea_real_estate,0.3818330896172089,74.62490415069863,0.42571877346374154,0.6524712817157101,6.759393473127101e-08,55
usa_gdp,btc_price,9.880350551752678e-10,-6260.162031257287,0.4018432761628965,0.6339110948413006,2.042912997067941e-07,55
usa_gdp,sp500_volume,0.001479575788753333,-3059724709.558325,0.3890435824134284,0.623733582880887,3.633952874228344e-07,55
usa_gdp,eth_volume,0.15416517071622554,-885354296838.3811,0.38481515941615707,0.6203347156303256,4.3846317062233563e-07,55
korea_gdp,btc_volume,3.5476573415425374,-1140125374476.6172,0.3424795625424555,0.585217534377137,2.69756985269935e-06,55
korea_gdp,eth_volume,1.696780115536042,-444523592401.2095,0.302453443303595,0.5499576741019211,1.3660071853772216e-05,55
usa_gdp,eth_price,3.668713202557121e-11,277.2468476874384,0.2934930436730405,0.5417499826239411,1.9418257171818905e-05,55
sp500_volume,korea_real_estate,8.971089860573728e-09,215.53769210803762,0.2883450870826094,0.5369777342521842,2.3725016832277895e-05,55
korea_gdp,btc_price,1.0150053148157367e-08,-2942.281769151173,0.27515435855565973,0.5245515785465329,3.94141650281547e-05,55
korea_gdp,eth_price,3.582565903200072e-10,413.111204965169,0.18158770021370352,0.4261310833695464,0.0011792515928508837,55
sp500_price,sp500_volume,57207617.897095054,6603944475.819679,0.13594982307233305,0.36871374136629775,0.0056060331039490445,55
sp500_volume,btc_volume,30.862107270000926,894217818918.9026,0.022477649384856857,0.14992547943847623,0.27460116279750985,55
sp500_volume,eth_volume,14.278871628470561,534366236708.8174,0.01857563165937204,0.13629244901817536,0.32110230073776264,55
sp500_volume,btc_price,7.29729667384888e-08,3065.7301736532872,0.012334233940750283,0.11105959634696183,0.4195376903630612,55
sp500_volume,eth_price,2.35667491001695e-09,627.8513167215834,0.006814685530295406,0.08255110859519284,0.5490544391789689,55
