date,text,sentiment,sentiment_score,stock_mentioned,source,likes,replies
2023-05-02,apes together strong 🦍 AMZN,positive,0.7678146001636617,AMZN,youtube,8,0
2023-11-05,Nvidia looking interesting ngl,neutral,-0.1428532728312237,NVDA,youtube,175,8
2023-09-10,"never selling my SPY shares, generational wealth",positive,0.41004270591206027,SPY,youtube,28,1
2024-07-20,biggest regret buying Nvidia smh,negative,-0.8720006020718307,NVDA,youtube,204,3
2024-01-23,whats the PT for Meta?,neutral,-0.1317903505250834,META,youtube,142,4
2024-01-02,Google making me rich fr fr,positive,0.35860326840383033,GOOGL,youtube,57,4
2024-01-23,anyone still holding Google?,neutral,0.16372816083151281,GOOGL,youtube,18,3
2024-07-09,"Tesla scam, dont buy this garbage",negative,-0.8812120245266649,TSLA,youtube,140,11
2023-10-23,who else got rekt by AMC? 😭,negative,-0.5577336153567602,AMC,youtube,93,6
2023-01-15,who else got rekt by AMC? 😭,negative,-0.6859480039838464,AMC,youtube,9,0
2023-05-19,rip to everyone who bought GME at the top,negative,-0.7807705910794965,GME,youtube,11,6
2023-02-10,anyone still holding Meta?,neutral,-0.17038213930636387,META,youtube,123,9
2023-04-09,rip to everyone who bought Meta at the top,negative,-0.8618649898283859,META,youtube,44,1
2023-01-05,why did i buy NVDA?? down so bad rn,negative,-0.828243452437019,NVDA,youtube,41,7
2024-04-05,"SPY going to zero, get out now",negative,-0.4736022661885275,SPY,youtube,11,11
2024-10-16,lmao META bagholders in shambles,negative,-0.3554601156443441,META,youtube,70,1
2024-07-10,apes together strong 🦍 Tesla,positive,0.7168709598238228,TSLA,youtube,17,0
2023-12-14,lmao SPY bagholders in shambles,negative,-0.3644646009060133,SPY,youtube,22,11
2023-09-16,apes together strong 🦍 GOOGL,positive,0.5562646731757538,GOOGL,youtube,0,3
2024-10-25,"sold all my SPY, this thing is done",negative,-0.48453838026583773,SPY,youtube,143,1
2024-07-17,"Apple going to zero, get out now",negative,-0.6576982973651755,AAPL,youtube,14,5
2023-04-23,"idk about AAPL tbh, mixed signals",neutral,-0.08606380224901296,AAPL,youtube,187,2
2024-11-14,🚀🚀🚀 TSLA to the moon!!!,positive,0.6806108068208183,TSLA,youtube,29,4
2023-10-21,paper hands saved me from AAPL disaster,negative,-0.44302823080276943,AAPL,youtube,22,5
2023-12-15,rip to everyone who bought Microsoft at the top,negative,-0.8095694736207424,MSFT,youtube,97,1
2024-05-03,Nvidia making me rich fr fr,positive,0.6072558349795687,NVDA,youtube,58,2
2023-05-31,what do yall think about AMC?,neutral,0.07027604681571231,AMC,youtube,38,5
2023-01-02,Google making me rich fr fr,positive,0.8893010059976614,GOOGL,youtube,279,16
2023-07-27,paper hands saved me from NVDA disaster,negative,-0.6965821253707796,NVDA,youtube,113,10
2024-02-24,"new to investing, is Apple good?",neutral,0.14037137950700512,AAPL,youtube,114,4
2023-12-04,told yall Tesla was gonna pump,positive,0.6981010614648335,TSLA,youtube,33,2
2023-10-04,Apple looking interesting ngl,neutral,0.08487168853901433,AAPL,youtube,9,2
2024-04-04,anyone still holding Apple?,neutral,0.06304515692013735,AAPL,youtube,35,5
2023-10-10,"best stock ever, Nvidia is the future",positive,0.8873357149650054,NVDA,youtube,28,2
2024-06-30,rip to everyone who bought Nvidia at the top,negative,-0.7828542073211733,NVDA,youtube,73,0
